 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"","Jack Streberger","Butler","Sr.","M","19","6","4","16"
"","Raz Amir","Fairfield","Jr.","F","19","5","6","16"
"","Reziq Banihani","Cal St. Fullerton","So.","F","18","5","6","16"
Reclassifying
"NR","Juri  Schlingmann","Merrimack","Sr.","F","17","10","4","24"
"NR","Johan Feilscher","Merrimack","Sr.","F","17","7","4","18"
"NR","Felipe Mendonca","Queens (NC)","Sr.","F","13","7","3","17"

NCAA Men's Soccer
Division IPenalty Kicks
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","PS","psatt","Pct."
"1","Lukas Sunesson","Marquette","Sr.","F","18","6","6","1.000"
"","Nico Clasen","UNLV","Sr.","M","17","4","4","1.000"
"","Danny Flores","Virginia Tech","So.","M","14","4","4","1.000"
"","Henry Hamilton","Manhattan","So.","F","19","4","4","1.000"
"","David Jackson","Navy","Jr.","M","19","4","4","1.000"
"","Jacob Schulman","Marist","Sr.","M","16","4","4","1.000"
"","Tomas Svecula","Quinnipiac","Sr.","F","21","4","4","1.000"
"","Joey Akpunonu","Bowling Green","Jr.","D","16","3","3","1.000"
"","Sam Bassett","Denver","So.","M","22","3","3","1.000"
"","Ryan Becher","UMBC","Sr.","M","18","3","3","1.000"
"","Cam Cilley","Stanford","Sr.","M","20","3","3","1.000"
"","Victor Claudel","Fla. Atlantic","Sr.","F","15","3","3","1.000"
"","Alberto Cruz","Memphis","Fr.","F","18","3","3","1.000"
"","Felipe D'Agostini","Oral Roberts","So.","M","17","3","3","1.000"
"","Leonardo D'Ambrosio","Col. of Charleston","So.","M","16","3","3","1.000"
"","Jake Fuderer","DePaul","Sr.","F","16","3","3","1.000"
"","Lukas Hackaa","IUPUI","Jr.","M","20","3","3","1.000"
"","Fahmi Ibrahim","California","Sr.","F","15","3","3","1.000"
"","Emil Jaaskelainen","LIU","Jr.","F","15","3","3","1.000"
"","Jeorgio Kocevski","Syracuse","Jr.","M","22","3","3","1.000"
"","Gerard Lopez Forner","Presbyterian","Sr.","F","17","3","3","1.000"
"","Alex Meinhard","Tulsa","Jr.","F","15","3","3","1.000"
"","Luis Mueller","California Baptist","Jr.","F","21","3","3","1.000"
"","Daniel Nesseler","Drexel","So.","M","17","3","3","1.000"
"","Pantelis Panteli","UAlbany","Sr.","M","19","3","3","1.000"
"","Giorgio Probo","Creighton","So.","M","24","3","3","1.000"
"","Ramzi Qawasmy","Providence","Sr.","D","17","3","3","1.000"
"","Nathaniel St. Louis","UAB","Sr.","F","16","3","3","1.000"
"","Khaled Abdella","St. Francis Brooklyn","Sr.","F","18","2","2","1.000"
"","Rodrigo Almeida","Niagara","Sr.","F","20","2","2","1.000"
"","Finn Ballard McBride","UC Santa Barbara","Sr.","F","20","2","2","1.000"
"","Noel Caliskan","LMU (CA)","Sr.","M","18","2","2","1.000"
"","Aboubacar Camara","Louisville","Jr.","F","18","2","2","1.000"
"","Demario Cameron","Hartford","Sr.","D","12","2","2","1.000"
"","Thaddaeus Dewing","Air Force","Jr.","F","17","2","2","1.000"
"","Hamady Diop","Clemson","Jr.","D","14","2","2","1.000"
"","Bernardo Dos Santos Monteiro","FIU","So.","F","20","2","2","1.000"
"","Noah Egan","Vermont","Sr.","D","22","2","2","1.000"
"","Bobby Foose","Colgate","Sr.","M","18","2","2","1.000"
"","AJ Franklin","Drake","Jr.","F","15","2","2","1.000"
"","Milo Garvanian","North Carolina","Sr.","M","19","2","2","1.000"
"","Chase Gilley","Robert Morris","Jr.","F","16","2","2","1.000"
"","Brendan Herb","UNC Asheville","Jr.","M","16","2","2","1.000"
"","Philip Horton","Virginia","Jr.","F","19","2","2","1.000"
"","Quenzi Huerman","Seton Hall","Jr.","M","18","2","2","1.000"
"","Timo Hummrich","Fordham","Sr.","D","16","2","2","1.000"
"","Kaya Ignacio","High Point","Jr.","F","18","2","2","1.000"
"","Inaki Iribarren","Wisconsin","Sr.","M","15","2","2","1.000"
"","Shaun Joash","Grand Canyon","Sr.","F","16","2","2","1.000"
"","Marcos Kitromilides","Lafayette","Sr.","F","18","2","2","1.000"
"","Joe Kouadio","Wright St.","Sr.","F","17","2","2","1.000"
"","Basile Marc","UNC Greensboro","So.","M","21","2","2","1.000"
"","Birk Martinsen","Central Conn. St.","So.","F","15","2","2","1.000"
"","Gio Miglietti","Washington","Sr.","D","19","2","2","1.000"
"","Roald Mitchell","Wake Forest","So.","M","20","2","2","1.000"
"","Babacar Niang","Wake Forest","So.","F","18","2","2","1.000"
"","Valentin Noel","Pittsburgh","Sr.","M","21","2","2","1.000"
"","Albert Portas","Cleveland St.","Jr.","M","19","2","2","1.000"
"","Jovan Prado","Memphis","Sr.","F","18","2","2","1.000"
"","Tommy Redhead","Furman","Jr.","M","15","2","2","1.000"
"","Gio Rodriguez","Stetson","Jr.","M","14","2","2","1.000"
"","Quin Rogers","Michigan","Jr.","M","14","2","2","1.000"
"","Gabe Sanchez","UNLV","So.","M","17","2","2","1.000"
"","Peter Stroud","Duke","Jr.","M","19","2","2","1.000"
"","Federico Tellez","Northeastern","Jr.","F","12","2","2","1.000"
"","Joost de Schutter","Butler","Fr.","M","18","2","2","1.000"
"","Michael Adedokun","Dayton","Jr.","M","11","1","1","1.000"
"","London Aghedo","Air Force","Sr.","D","15","1","1","1.000"
"","Ariel Aguas","George Mason","Fr.","M","12","1","1","1.000"
"","Patrick Agyemang","Rhode Island","Sr.","F","14","1","1","1.000"
"","Forster Ajago","Dayton","Sr.","F","17","1","1","1.000"
"","Chris Album","Green Bay","Fr.","F","7","1","1","1.000"
"","David Alino","Dartmouth","Sr.","F","14","1","1","1.000"
"","Jefferson Amaya","High Point","Fr.","M","20","1","1","1.000"
"","Jalen Anderson","UNCW","Sr.","F","17","1","1","1.000"
"","Zyan Andrade","Marquette","Sr.","M","5","1","1","1.000"
"","Sebastian Andreassen","Central Ark.","Sr.","F","16","1","1","1.000"
"","Charly Anguiano","Cal St. Fullerton","Sr.","M","14","1","1","1.000"
"","Carlos Armendariz","CSU Bakersfield","Sr.","M","17","1","1","1.000"
"","Camil Azzam Ruiz","Iona","Sr.","F","13","1","1","1.000"
"","Jacob Babalai","Portland","So.","F","20","1","1","1.000"
"","Enrique Banuelos","NIU","Sr.","F","16","1","1","1.000"
"","Jaime Barbero","FDU","Fr.","F","13","1","1","1.000"
"","Domenic Baumann","UAlbany","Sr.","M","20","1","1","1.000"
"","Triton Beauvois","Virginia","Fr.","F","14","1","1","1.000"
"","Jack Beck","Michigan St.","Sr.","M","17","1","1","1.000"
"","Mathias Bendiksen","Central Ark.","Sr.","F","15","1","1","1.000"
"","Pablo Brimeux","Gardner-Webb","Fr.","F","15","1","1","1.000"
"","Nils Buchwalder","New Hampshire","Sr.","D","18","1","1","1.000"
"","Nigel Buckley","La Salle","Sr.","F","18","1","1","1.000"
"","Christian Buendia","Saint Louis","So.","M","20","1","1","1.000"
"","Will Buete","NC State","So.","M","16","1","1","1.000"
"","Jack Cloherty","Brown","So.","M","14","1","1","1.000"
"","Nathan Colley","Cal Poly","So.","M","13","1","1","1.000"
"","Camilo Comi","VCU","So.","F","17","1","1","1.000"
"","Mattias Cooper","American","Sr.","M","20","1","1","1.000"
"","Omari Cotterell","La Salle","Sr.","F","17","1","1","1.000"
"","Matthew Cozetti","Binghamton","Sr.","F","18","1","1","1.000"
"","Gonzalo  Cuevas","Omaha","Jr.","D","15","1","1","1.000"
"","Joshua Dabora","Santa Clara","Jr.","F","11","1","1","1.000"
"","Kojo Dadzie","Brown","Jr.","M","17","1","1","1.000"
"","Ben Damge","Kentucky","Jr.","F","19","1","1","1.000"
"","Griffin DeBolt","Butler","Sr.","D","10","1","1","1.000"
"","D'Shon DeGannes","FDU","Sr.","M","11","1","1","1.000"
"","Nacho Diaz Barragan","Evansville","So.","F","19","1","1","1.000"
"","Ethan Dudley","Northwestern","Sr.","D","17","1","1","1.000"
"","Luke Eberle","Liberty","So.","M","15","1","1","1.000"
"","Sam Eccles","Eastern Ill.","Jr.","F","16","1","1","1.000"
"","Mike Eijgendaal","Temple","Sr.","F","16","1","1","1.000"
"","Tarek El-Zammar","Canisius","Fr.","M","16","1","1","1.000"
"","Jan Engels","UTRGV","Sr.","D","17","1","1","1.000"
"","Sam Epitime","Army West Point","Jr.","M","17","1","1","1.000"
"","Tyger Evans","Penn St.","Jr.","D","9","1","1","1.000"
"","Bryant Farkarlun","Houston Christian","Sr.","F","18","1","1","1.000"
"","Lukas Fisher","Denver","Jr.","M","11","1","1","1.000"
"","Guillermo Frances Poquet","UMass Lowell","Jr.","M","15","1","1","1.000"
"","Alex Fuentes","Stetson","Sr.","M","3","1","1","1.000"
"","Alvaro Garcia-Pascual","Coastal Carolina","So.","F","16","1","1","1.000"
"","Gael Gibert","Oregon St.","Sr.","D","17","1","1","1.000"
"","Ethan Giwa-McNeil","Houston Christian","So.","F","18","1","1","1.000"
"","Matthew Goncalves","Cornell","Jr.","F","12","1","1","1.000"
"","Noah Gonsalves","Kansas City","So.","M","6","1","1","1.000"
"","Michael Gonzalez","Sacramento St.","Jr.","F","12","1","1","1.000"
"","Sergio Gonzalez Fernandez","Iona","Fr.","M","17","1","1","1.000"
"","Nick Graziano","Butler","Jr.","M","3","1","1","1.000"
"","Parker Grinstead","Ohio St.","Jr.","M","20","1","1","1.000"
"","Gage Guerra","Army West Point","So.","F","15","1","1","1.000"
"","Max Hamelink","San Francisco","Jr.","M","17","1","1","1.000"
"","Kieran Hayes","Oakland","Sr.","D","12","1","1","1.000"
"","Billy Hency","Loyola Chicago","Sr.","M","18","1","1","1.000"
"","Ryan Her","Pacific","Sr.","M","16","1","1","1.000"
"","Andreas Hermansson","Omaha","So.","M","2","1","1","1.000"
"","D'Alessandro Herrera","Houston Christian","Fr.","M","19","1","1","1.000"
"","Michael Ille","Mercer","Sr.","F","18","1","1","1.000"
"","Antonio Illuminato","Drexel","Sr.","M","15","1","1","1.000"
"","Jalen James","Campbell","Sr.","F","17","1","1","1.000"
"","Stian Jørgensen","Northern Ky.","Sr.","D","15","1","1","1.000"
"","Nicholas Kaloukian","Michigan","Fr.","F","16","1","1","1.000"
"","Kazuki Kimura","Kansas City","Sr.","M","16","1","1","1.000"
"","Peter Kingston","Seattle U","Jr.","M","15","1","1","1.000"
"","Ryan Kipness","Columbia","So.","F","12","1","1","1.000"
"","Ole Kjorholt","Northeastern","Sr.","D","18","1","1","1.000"
"","John Klein","Saint Louis","Sr.","M","20","1","1","1.000"
"","Theo Klein","Omaha","Jr.","M","16","1","1","1.000"
"","Kevin Komodi","Saint Louis","Jr.","M","16","1","1","1.000"
"","Nathan Lam","VMI","Sr.","M","16","1","1","1.000"
"","Luis Lara","Stetson","So.","F","16","1","1","1.000"
"","Wesley Leggett","St. John's (NY)","Sr.","F","17","1","1","1.000"
"","Emil Lindgren Pedersen","Milwaukee","Fr.","F","17","1","1","1.000"
"","Seth Mahlmeister","Purdue Fort Wayne","So.","F","13","1","1","1.000"
"","Ndrin Maloku","Presbyterian","Jr.","F","5","1","1","1.000"
"","Daniel Mangarov","Virginia","Jr.","F","18","1","1","1.000"
"","Sergi Martinez","Bowling Green","Sr.","F","16","1","1","1.000"
"","Felipe Marty","USC Upstate","Sr.","D","16","1","1","1.000"
"","Ryan Massoud","Northeastern","Sr.","F","18","1","1","1.000"
"","Robert Matei","American","Jr.","M","20","1","1","1.000"
"","Quinn Matulis","Boston U.","Sr.","M","16","1","1","1.000"
"","Lucas Mauro","UCF","Jr.","F","12","1","1","1.000"
"","Isaac McGinnis","Penn","Sr.","M","18","1","1","1.000"
"","Declan McGlynn","Seattle U","Sr.","F","10","1","1","1.000"
"","Felipe Medina","Oral Roberts","So.","M","17","1","1","1.000"
"","Tommy Mihalic","Indiana","So.","F","24","1","1","1.000"
"","Marko Mitrevski","Liberty","Sr.","M","15","1","1","1.000"
"","Shakur Mohammed","Duke","So.","M","19","1","1","1.000"
"","Michael Mollica","LIU","Jr.","M","15","1","1","1.000"
"","Brandon Morales","Cornell","Sr.","M","19","1","1","1.000"
"","Zach Mowka","Duquesne","So.","F","15","1","1","1.000"
"","Lorenzo Nagy","Presbyterian","Jr.","M","13","1","1","1.000"
"","Sebastian Nava","Portland","So.","M","21","1","1","1.000"
"","Daniel Nimick","Western Mich.","Sr.","D","21","1","1","1.000"
"","Rory O'Driscoll","New Hampshire","Sr.","M","15","1","1","1.000"
"","Holger Olsson","Denver","Fr.","M","19","1","1","1.000"
"","Nathan Opoku","Syracuse","So.","F","25","1","1","1.000"
"","Jose Ortiz","SMU","Jr.","F","14","1","1","1.000"
"","Pau Palacin","SIUE","So.","F","9","1","1","1.000"
"","Brandon Parrish","Clemson","Jr.","M","20","1","1","1.000"
"","Alfred Perez","South Fla.","Sr.","F","14","1","1","1.000"
"","Will Perkins","Michigan St.","Sr.","D","14","1","1","1.000"
"","Johannes Pex","Seton Hall","Sr.","D","18","1","1","1.000"
"","Evan Posnanski","Brown","So.","F","7","1","1","1.000"
"","Giulio Potenti","Central Conn. St.","So.","F","11","1","1","1.000"
"","Kolton Prater","Green Bay","So.","M","16","1","1","1.000"
"","Sebastian Restrepo","Northeastern","So.","F","13","1","1","1.000"
"","Kieran Richards","ETSU","Sr.","M","17","1","1","1.000"
"","Lucca Rodrigues","Kentucky","Sr.","D","21","1","1","1.000"
"","Lineker Rodrigues dos Santos","Memphis","So.","F","18","1","1","1.000"
"","Donovan Roux","San Diego St.","So.","M","17","1","1","1.000"
"","Daniel Russo","Notre Dame","Jr.","F","17","1","1","1.000"
"","Luis Sahmkow","Pittsburgh","So.","F","15","1","1","1.000"
"","Guillaume Sarrabayrouse","Rider","Sr.","D","13","1","1","1.000"
"","Lewis Scattergood","Stetson","Sr.","F","9","1","1","1.000"
"","Julius Schoner","Canisius","Sr.","M","15","1","1","1.000"
"","Danail Sergiev","Chicago St.","Fr.","F","17","1","1","1.000"
"","Charlie Sharp","Western Mich.","Sr.","M","21","1","1","1.000"
"","Antek Sienkiel","St. John's (NY)","Sr.","M","17","1","1","1.000"
"","Stefan Sigurdarson","Boston College","Sr.","F","16","1","1","1.000"
"","Nathan Simes","Fordham","Fr.","F","16","1","1","1.000"
"","Reiss Skeen","Saint Peter's","Fr.","M","17","1","1","1.000"
"","Jack Sluys","Fordham","Sr.","D","16","1","1","1.000"
"","Jose Sosa","UCLA","Sr.","M","20","1","1","1.000"
"","Joao Souza","Marshall","Sr.","M","19","1","1","1.000"
"","Papa Sow","LIU","Jr.","M","15","1","1","1.000"
"","Kelan Swales","Loyola Maryland","Sr.","F","17","1","1","1.000"
"","Mo  Tall","Bucknell","Sr.","M","17","1","1","1.000"
"","Mouhameth Thiam","Oregon St.","Jr.","M","17","1","1","1.000"
"","Jeff Thielmann","UAlbany","Jr.","F","20","1","1","1.000"
"","Papa Toure","VCU","Fr.","F","17","1","1","1.000"
"","Daniel Tshiani","Loyola Maryland","Sr.","F","16","1","1","1.000"
"","Scott Vatne","Elon","So.","M","19","1","1","1.000"
"","Dominic Vegaalban","Sacramento St.","So.","F","10","1","1","1.000"
"","Rafa Villanueva","Rhode Island","Sr.","F","16","1","1","1.000"
"","Jose Vivas","Evansville","So.","M","19","1","1","1.000"
"","Justin Weiss","Northwestern","Jr.","F","11","1","1","1.000"
"","Brody Williams","USC Upstate","Jr.","F","16","1","1","1.000"
"","Hayes Wood","Lipscomb","Sr.","F","19","1","1","1.000"
"","Finlay Wood","San Jose St.","Sr.","M","18","1","1","1.000"
"","Sokol Ymeraj","St. Francis Brooklyn","Sr.","M","17","1","1","1.000"
"","Tyler Young","Campbell","Jr.","M","20","1","1","1.000"
"219","Eliot Goldthorp","Hofstra","So.","M","21","7","8","0.875"
"","Duncan McGuire","Creighton","Jr.","F","24","7","8","0.875"
"221","Brandon Cambridge","Portland","So.","M","21","4","5","0.800"
"","Malcolm Johnston","Maryland","Sr.","M","17","4","5","0.800"
"","Denis Krioutchenkov","Davidson","Fr.","F","17","4","5","0.800"
"224","Knut Ahlander","SMU","Sr.","M","17","6","8","0.750"
"","Tyler Clegg","James Madison","Sr.","D","19","3","4","0.750"
"","Peter Mangione","Penn St.","Jr.","F","16","3","4","0.750"
"","Sean Suber","Charlotte","Sr.","D","16","3","4","0.750"
"","Mason Tunbridge","San Diego","Sr.","M","19","3","4","0.750"
"","Ryan Wittenbrink","Indiana","Sr.","F","24","3","4","0.750"
"230","Paolo Carroll","Yale","Sr.","F","15","4","6","0.667"
"","Jelldrik Dallmann","Lipscomb","Sr.","F","17","4","6","0.667"
"","Bryson Baker","Howard","So.","F","15","2","3","0.667"
"","Logan Dorsey","Gonzaga","So.","F","15","2","3","0.667"
"","Brandon Knapp","St. John's (NY)","Sr.","F","17","2","3","0.667"
"","Alberto Suarez","Saint Louis","Sr.","D","20","2","3","0.667"
"","Inigo Villaldea","San Diego St.","Jr.","M","11","2","3","0.667"
"","Kahveh Zahiroleslam","Yale","Jr.","F","10","2","3","0.667"
"238","MD Myers","Rutgers","Sr.","F","21","3","5","0.600"
"239","Lucca Dourado","UCF","Jr.","F","13","2","4","0.500"
"","JC Ngando","UNC Greensboro","So.","M","21","2","4","0.500"
"","Laurence Wootton","Ohio St.","Jr.","M","19","2","4","0.500"
"","Davi Alves","FGCU","Sr.","M","15","1","2","0.500"
"","Hugo Bacharach","FDU","Jr.","D","17","1","2","0.500"
"","Paddy Burns","Notre Dame","Jr.","D","17","1","2","0.500"
"","Wilmer Cabrera","Butler","Sr.","F","18","1","2","0.500"
"","Taylor Calheira","UMBC","Jr.","F","17","1","2","0.500"
"","Ryan Carmichael","Hofstra","Jr.","F","21","1","2","0.500"
"","Yusuf Cueceoglu","UTRGV","Sr.","M","17","1","2","0.500"
"","Dylan Gaither","Mercer","Sr.","M","19","1","2","0.500"
"","Matthias Heiland","LIU","So.","M","16","1","2","0.500"
"","Kotaro Hirokawa","Kansas City","Jr.","D","16","1","2","0.500"
"","Alec Hughes","Massachusetts","Jr.","F","17","1","2","0.500"
"","Colin Innes","Boston U.","Sr.","M","18","1","2","0.500"
"","Bryant Jimenez-Pearce","Winthrop","Jr.","M","11","1","2","0.500"
"","Ryan Kingsford","Akron","Jr.","F","20","1","2","0.500"
"","Bojan Kolevski","Cleveland St.","Jr.","F","20","1","2","0.500"
"","Nathan Leggett","Howard","Jr.","F","15","1","2","0.500"
"","Luke McBeth","Monmouth","Sr.","M","14","1","2","0.500"
"","Lucas Meek","Washington","Sr.","M","20","1","2","0.500"
"","Sam Robinson","Northern Ky.","Sr.","F","16","1","2","0.500"
"","Aidan Rocha","Georgetown","Sr.","M","20","1","2","0.500"
"","Renan Santos","Longwood","Sr.","M","15","1","2","0.500"
"","Jack Sarkos","Lehigh","Sr.","F","16","1","2","0.500"
"","Robert Screen","Kentucky","Sr.","D","21","1","2","0.500"
"","Tola Showunmi","New Hampshire","Sr.","F","15","1","2","0.500"
"","Alexander Stjernegaard","Quinnipiac","Fr.","D","21","1","2","0.500"
"","Kgodiso Sukati","UTRGV","Fr.","F","17","1","2","0.500"
"","Tobias Wangerud","Northeastern","So.","F","12","1","2","0.500"
"","Kian Yari","Missouri St.","Sr.","M","18","1","2","0.500"
"270","Leo Afonso","Virginia","Jr.","F","19","1","3","0.333"
"","Sam Donnellan","Delaware","Fr.","F","17","1","3","0.333"
"","Nicolo Mulatero","Missouri St.","Sr.","F","18","1","3","0.333"
"273","Mauro Gutierrez-Solis","Ga. Southern","Sr.","F","13","0","3","0.000"
"","Matt Hoyt","Saint Peter's","Sr.","F","16","0","2","0.000"
"","Alex Marin","Fairfield","Jr.","F","17","0","2","0.000"
"","Tom Abrahamsson","Fla. Atlantic","Sr.","D","16","0","1","0.000"
"","Stephen Afrifa","FIU","Sr.","F","19","0","1","0.000"
"","Ville Ahola","Oakland","Sr.","M","19","0","1","0.000"
"","Adel Al-Masude","Rider","Jr.","M","15","0","1","0.000"
"","Reece Allbaugh","Wright St.","So.","F","17","0","1","0.000"
"","Raz Amir","Fairfield","Jr.","F","19","0","1","0.000"
"","Alberto Anaya","Bowling Green","So.","F","12","0","1","0.000"
"","Jacob Sandun Arachchige-Jensen","Siena","So.","M","19","0","1","0.000"
"","Alessandro Arlotti","Harvard","So.","F","17","0","1","0.000"
"","Deryn Armstrong","Northern Ky.","Jr.","M","16","0","1","0.000"
"","Dominick Bachstein","Drexel","Jr.","F","16","0","1","0.000"
"","Issa Badawiya","UC Riverside","Sr.","M","17","0","1","0.000"
"","Juan Barragan-Manzo","UC Irvine","Jr.","F","13","0","1","0.000"
"","Diran Bebekian","UC Santa Barbara","Jr.","F","3","0","1","0.000"
"","Jonas Bickus","Stony Brook","So.","F","15","0","1","0.000"
"","Eythor Bjorgolfsson","Kentucky","Sr.","F","19","0","1","0.000"
"","Joshua Bolma","Maryland","So.","F","20","0","1","0.000"
"","Austin Brummett","San Diego St.","Fr.","F","16","0","1","0.000"
"","Juan Caffaro","North Carolina","So.","M","7","0","1","0.000"
"","Tiago Carvalho","George Washington","Sr.","M","15","0","1","0.000"
"","Mason Christian","Howard","Jr.","F","15","0","1","0.000"
"","Lenny Cidolit","Rider","Sr.","D","17","0","1","0.000"
"","Tom Cooklin","George Washington","Sr.","F","17","0","1","0.000"
"","Pascal Corvino","Missouri St.","Sr.","M","17","0","1","0.000"
"","James Cotter","Manhattan","Sr.","M","17","0","1","0.000"
"","Henrique Cruz","Marist","Sr.","M","15","0","1","0.000"
"","Aidan Davock","Colgate","Jr.","F","17","0","1","0.000"
"","Kevin Diaz","UCLA","Sr.","F","20","0","1","0.000"
"","Babacar Diene","Rider","Fr.","F","17","0","1","0.000"
"","Marley Edwards","CSUN","So.","M","19","0","1","0.000"
"","Emeka Eneli","Cornell","Sr.","F","17","0","1","0.000"
"","Timothy Ennin","Northeastern","Sr.","F","16","0","1","0.000"
"","Daniel Espeleta","Fordham","Sr.","M","15","0","1","0.000"
"","Joshua Ferreira","FDU","Sr.","F","14","0","1","0.000"
"","Logan Finnegan","IUPUI","Jr.","F","18","0","1","0.000"
"","Ryan Graham","UNCW","Sr.","M","17","0","1","0.000"
"","Nick Guido","Winthrop","So.","F","16","0","1","0.000"
"","Oliver Hald","Evansville","So.","D","19","0","1","0.000"
"","Nicolas Hald Willumsen","Xavier","Fr.","F","18","0","1","0.000"
"","Jack Haywood","Butler","Sr.","M","17","0","1","0.000"
"","Ben Hegge","Northern Ky.","Sr.","M","17","0","1","0.000"
"","Maxi Hopfer","Duquesne","So.","F","19","0","1","0.000"
"","Preston Huitron","UIC","Fr.","-","13","0","1","0.000"
"","Levonte Johnson","Syracuse","Sr.","F","25","0","1","0.000"
"","Malachi Jones","Lipscomb","Fr.","F","17","0","1","0.000"
"","Balint Kocso","George Mason","So.","F","13","0","1","0.000"
"","Christian Koffi","Kansas City","Jr.","F","16","0","1","0.000"
"","Seth Kuhn","Penn St.","Sr.","M","16","0","1","0.000"
"","Alexander Levengood","William & Mary","Sr.","M","18","0","1","0.000"
"","Frankie Ljucovic","Gonzaga","Sr.","M","18","0","1","0.000"
"","Garrett Lyons","Saint Joseph's","Sr.","D","17","0","1","0.000"
